isosmiles,Formula,SMILES,Ref
O=C(OC(c1ccccc1)(c1ccc(F)cc1)c1ccc(F)cc1)C(F)(F)F,C21H13F5O2,FC1=CC=C(C=C1)C(OC(=O)C(F)(F)F)(C1=CC=CC=C1)C1=CC=C(F)C=C1,EPA_Dashboard
N=C(NO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8H3F15N2O,ONC(=N)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
O=C(O)c1cccc(S(=O)(=O)C(F)(C(F)(F)F)C(F)(F)F)c1,C10H5F7O4S,OC(=O)C1=CC(=CC=C1)S(=O)(=O)C(F)(C(F)(F)F)C(F)(F)F,EPA_Dashboard
CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8H7F9O2,CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
FC(F)OC(F)(F)C(Cl)Cl,C3H2Cl2F4O,FC(F)OC(F)(F)C(Cl)Cl,EPA_Dashboard
Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)ccc1[N+](=O)[O-],C10H6F7NO2,CC1=CC(=CC=C1[N+]([O-])=O)C(F)(C(F)(F)F)C(F)(F)F,EPA_Dashboard
CCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C10H10F13NO2S,CCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
CC(C)(C)C(=O)CC(=O)C(F)(F)C(F)F,C9H12F4O2,CC(C)(C)C(=O)CC(=O)C(F)(F)C(F)F,EPA_Dashboard
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C19HF39O3S,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
CCOC(=O)CC(F)(F)C(F)(F)C(F)(F)F,C7H7F7O2,CCOC(=O)CC(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
CCCOCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C9H11F9O,CCCOCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
CC(C)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C10H7F15O,CC(C)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
FC(F)(F)OCC(F)(F)C(F)(F)F,C4H2F8O,FC(F)(F)OCC(F)(F)C(F)(F)F,EPA_Dashboard
FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(F)(F)F,C8H3F15O,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(F)(F)F,EPA_Dashboard
C=CCOC1=C(F)C(F)(F)C1(F)F,C7H5F5O,FC1=C(OCC=C)C(F)(F)C1(F)F,EPA_Dashboard
FC1(F)CC(Cl)C1(F)F,C4H3ClF4,FC1(F)CC(Cl)C1(F)F,EPA_Dashboard
Cc1ccc2c(c1)C(C(F)(F)F)(C(F)(F)F)OS2=O,C10H6F6O2S,CC1=CC2=C(C=C1)S(=O)OC2(C(F)(F)F)C(F)(F)F,EPA_Dashboard
FC1(F)OC(F)(C(F)(F)F)Oc2ccccc21,C9H4F6O2,FC(F)(F)C1(F)OC2=CC=CC=C2C(F)(F)O1,EPA_Dashboard
O=C(C#Cc1ccccc1)C(F)(F)C(F)(F)C(F)(F)F,C12H5F7O,FC(F)(F)C(F)(F)C(F)(F)C(=O)C#CC1=CC=CC=C1,EPA_Dashboard
FC(F)(F)C(F)(F)C(F)(C(F)(F)F)C1(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C21F,C14F26,FC(F)(F)C(F)(F)C(F)(C(F)(F)F)C1(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C12F,EPA_Dashboard
O=C(Nc1ccc(F)cc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C15H5F18NO,FC1=CC=C(NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C1,EPA_Dashboard
O=C(O)CC(F)(F)C(F)(F)C(F)(F)F,C5H3F7O2,OC(=O)CC(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
O=C(O)COCC(F)(F)C(F)F,C5H6F4O3,OC(=O)COCC(F)(F)C(F)F,EPA_Dashboard
CC(C)CC(C)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C14H17F13O,CC(C)CC(C)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
CCOC(OS(=O)(=O)c1ccc(C)cc1)C(F)(F)C(F)(F)F,C12H13F5O4S,CCOC(OS(=O)(=O)C1=CC=C(C)C=C1)C(F)(F)C(F)(F)F,EPA_Dashboard
CON(C)C(=O)C(F)C(F)(F)F,C5H7F4NO2,CON(C)C(=O)C(F)C(F)(F)F,EPA_Dashboard
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C10H2F18,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
O=[N+]([O-])c1cc(COCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc([N+](=O)[O-])c1,C13H9F9N2O5,[O-][N+](=O)C1=CC(=CC(COCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)=C1)[N+]([O-])=O,EPA_Dashboard
